,area,min_row,min_col,max_row,max_col,breast_area
test_Mix_DPerc0_c_0.dcm,86.0,695,533,702,561,1693536
test_Mix_DPerc0_c_0.dcm,302.0,695,533,723,627,1693536
test_Mix_DPerc0_c_0.dcm,59.0,701,516,707,535,1693536
test_Mix_DPerc0_c_0.dcm,85.0,701,637,710,664,1693536
test_Mix_DPerc0_c_0.dcm,85.0,704,481,712,506,1693536
test_Mix_DPerc0_c_0.dcm,107.0,709,443,730,468,1693536
test_Mix_DPerc0_c_0.dcm,79.0,711,677,727,694,1693536
test_Mix_DPerc0_c_0.dcm,89.0,712,469,718,499,1693536
test_Mix_DPerc0_c_0.dcm,169.0,716,386,735,430,1693536
test_Mix_DPerc0_c_0.dcm,63.0,716,425,729,445,1693536
test_Mix_DPerc0_c_0.dcm,52.0,716,723,728,737,1693536
test_Mix_DPerc0_c_0.dcm,76.0,722,725,736,747,1693536
test_Mix_DPerc0_c_0.dcm,50.0,724,574,739,586,1693536
test_Mix_DPerc0_c_0.dcm,116.0,727,689,738,726,1693536
test_Mix_DPerc0_c_0.dcm,1.0,728,401,729,402,1693536
test_Mix_DPerc0_c_0.dcm,56.0,730,636,735,656,1693536
test_Mix_DPerc0_c_0.dcm,80.0,731,376,758,390,1693536
test_Mix_DPerc0_c_0.dcm,78.0,739,383,749,406,1693536
test_Mix_DPerc0_c_0.dcm,56.0,744,583,763,595,1693536
test_Mix_DPerc0_c_0.dcm,158.0,752,324,770,351,1693536
test_Mix_DPerc0_c_0.dcm,114.0,756,395,765,435,1693536
test_Mix_DPerc0_c_0.dcm,115.0,759,364,775,393,1693536
test_Mix_DPerc0_c_0.dcm,113.0,764,297,790,323,1693536
test_Mix_DPerc0_c_0.dcm,60.0,765,337,777,358,1693536
test_Mix_DPerc0_c_0.dcm,184.0,772,249,795,286,1693536
test_Mix_DPerc0_c_0.dcm,51.0,792,257,808,265,1693536
test_Mix_DPerc0_c_0.dcm,63.0,799,480,818,499,1693536
test_Mix_DPerc0_c_0.dcm,390.0,803,204,844,258,1693536
test_Mix_DPerc0_c_0.dcm,62.0,804,516,809,537,1693536
test_Mix_DPerc0_c_0.dcm,96.0,822,513,856,518,1693536
test_Mix_DPerc0_c_0.dcm,67.0,822,752,845,757,1693536
test_Mix_DPerc0_c_0.dcm,58.0,827,190,837,205,1693536
test_Mix_DPerc0_c_0.dcm,57.0,835,195,850,211,1693536
test_Mix_DPerc0_c_0.dcm,66.0,835,822,848,836,1693536
test_Mix_DPerc0_c_0.dcm,55.0,839,808,853,818,1693536
test_Mix_DPerc0_c_0.dcm,55.0,849,190,858,208,1693536
test_Mix_DPerc0_c_0.dcm,64.0,851,181,862,198,1693536
test_Mix_DPerc0_c_0.dcm,50.0,854,488,869,506,1693536
test_Mix_DPerc0_c_0.dcm,59.0,855,369,859,390,1693536
test_Mix_DPerc0_c_1.dcm,270.0,693,544,717,630,1693536
test_Mix_DPerc0_c_1.dcm,89.0,695,534,701,563,1693536
test_Mix_DPerc0_c_1.dcm,105.0,696,639,709,668,1693536
test_Mix_DPerc0_c_1.dcm,51.0,701,519,706,538,1693536
test_Mix_DPerc0_c_1.dcm,79.0,704,482,711,506,1693536
test_Mix_DPerc0_c_1.dcm,97.0,709,444,731,469,1693536
test_Mix_DPerc0_c_1.dcm,116.0,712,461,720,500,1693536
test_Mix_DPerc0_c_1.dcm,185.0,716,387,734,433,1693536
test_Mix_DPerc0_c_1.dcm,61.0,716,427,729,447,1693536
test_Mix_DPerc0_c_1.dcm,83.0,722,727,736,747,1693536
test_Mix_DPerc0_c_1.dcm,54.0,724,554,729,573,1693536
test_Mix_DPerc0_c_1.dcm,116.0,727,690,738,727,1693536
test_Mix_DPerc0_c_1.dcm,58.0,730,638,735,658,1693536
test_Mix_DPerc0_c_1.dcm,63.0,733,378,755,391,1693536
test_Mix_DPerc0_c_1.dcm,128.0,734,385,749,424,1693536
test_Mix_DPerc0_c_1.dcm,55.0,744,584,763,597,1693536
test_Mix_DPerc0_c_1.dcm,136.0,753,326,771,351,1693536
test_Mix_DPerc0_c_1.dcm,82.0,757,396,764,425,1693536
test_Mix_DPerc0_c_1.dcm,129.0,760,366,778,395,1693536
test_Mix_DPerc0_c_1.dcm,114.0,764,299,786,325,1693536
test_Mix_DPerc0_c_1.dcm,155.0,773,260,792,297,1693536
test_Mix_DPerc0_c_1.dcm,50.0,777,355,783,372,1693536
test_Mix_DPerc0_c_1.dcm,72.0,786,645,812,650,1693536
test_Mix_DPerc0_c_1.dcm,61.0,795,501,808,514,1693536
test_Mix_DPerc0_c_1.dcm,71.0,797,482,818,501,1693536
test_Mix_DPerc0_c_1.dcm,66.0,799,256,819,265,1693536
test_Mix_DPerc0_c_1.dcm,59.0,799,775,809,794,1693536
test_Mix_DPerc0_c_1.dcm,56.0,804,519,809,538,1693536
test_Mix_DPerc0_c_1.dcm,225.0,819,215,843,260,1693536
test_Mix_DPerc0_c_1.dcm,56.0,821,262,837,270,1693536
test_Mix_DPerc0_c_1.dcm,63.0,824,754,845,759,1693536
test_Mix_DPerc0_c_1.dcm,89.0,826,186,840,206,1693536
test_Mix_DPerc0_c_1.dcm,53.0,833,516,852,520,1693536
test_Mix_DPerc0_c_1.dcm,80.0,833,823,849,836,1693536
test_Mix_DPerc0_c_1.dcm,56.0,835,197,849,213,1693536
test_Mix_DPerc0_c_1.dcm,56.0,838,179,859,185,1693536
test_Mix_DPerc0_c_1.dcm,90.0,849,192,870,210,1693536
test_Mix_DPerc0_c_1.dcm,65.0,855,372,859,395,1693536
test_Mix_DPerc0_c_1.dcm,52.0,858,173,869,183,1693536
