,area,min_row,min_col,max_row,max_col,breast_area
p214-010-60001-cl.png,60.0,279,73,289,86,1033968
p214-010-60001-cl.png,52.0,294,70,302,88,1033968
p214-010-60001-cl.png,1744.0,297,89,509,211,1033968
p214-010-60001-cl.png,106.0,301,53,309,89,1033968
p214-010-60001-cl.png,75.0,304,98,317,111,1033968
p214-010-60001-cl.png,226.0,307,43,323,89,1033968
p214-010-60001-cl.png,690.0,323,51,413,111,1033968
p214-010-60001-cl.png,115.0,325,118,350,153,1033968
p214-010-60001-cl.png,116.0,332,44,355,79,1033968
p214-010-60001-cl.png,99.0,335,87,355,109,1033968
p214-010-60001-cl.png,54.0,349,110,358,127,1033968
p214-010-60001-cl.png,123.0,351,144,374,179,1033968
p214-010-60001-cl.png,72.0,358,149,371,168,1033968
p214-010-60001-cl.png,56.0,360,103,375,117,1033968
p214-010-60001-cl.png,55.0,365,50,374,65,1033968
p214-010-60001-cl.png,119.0,366,42,390,58,1033968
p214-010-60001-cl.png,80.0,369,125,387,146,1033968
p214-010-60001-cl.png,53.0,377,115,381,134,1033968
p214-010-60001-cl.png,128.0,390,51,431,65,1033968
p214-010-60001-cl.png,86.0,392,132,404,153,1033968
p214-010-60001-cl.png,68.0,393,119,413,128,1033968
p214-010-60001-cl.png,270.0,400,89,440,122,1033968
p214-010-60001-cl.png,130.0,402,76,423,95,1033968
p214-010-60001-cl.png,124.0,405,136,446,143,1033968
p214-010-60001-cl.png,55.0,414,117,425,130,1033968
p214-010-60001-cl.png,76.0,414,142,425,162,1033968
p214-010-60001-cl.png,64.0,423,83,439,101,1033968
p214-010-60001-cl.png,177.0,427,144,461,166,1033968
p214-010-60001-cl.png,70.0,441,111,447,135,1033968
p214-010-60001-cl.png,245.0,443,86,487,123,1033968
p214-010-60001-cl.png,156.0,449,120,473,153,1033968
p214-010-60001-cl.png,241.0,467,168,510,212,1033968
p214-010-60001-cl.png,74.0,468,121,489,131,1033968
p214-010-60001-cl.png,102.0,475,42,490,65,1033968
p214-010-60001-cl.png,54.0,475,99,483,116,1033968
p214-010-60001-cl.png,311.0,477,189,521,213,1033968
p214-010-60001-cl.png,402.0,481,59,517,109,1033968
p214-010-60001-cl.png,67.0,486,136,502,149,1033968
p214-010-60001-cl.png,2.0,489,206,491,208,1033968
