,area,min_row,min_col,max_row,max_col,breast_area,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
test_Mix_DPerc0_c_0.dcm,86.0,695,533,702,561,1693536,196.0,0.7386428201375252,0.03827992375534146,0.6473356911350987,0.712515241282504,0.745345607943694,0.7680548977033324,0.8152555499345152,-0.511972579082638,-0.4820158879040398
test_Mix_DPerc0_c_0.dcm,302.0,695,533,723,627,1693536,2632.0,0.8372377946973516,0.05106287670095004,0.6473356911350987,0.8108438374918359,0.8454150957438189,0.8755765530443549,0.9523645364920267,-0.7844589522838252,0.418184408877143
test_Mix_DPerc0_c_0.dcm,59.0,701,516,707,535,1693536,114.0,0.7437224792830203,0.034131548090766156,0.6615622286625005,0.7223994909871946,0.7518118574667982,0.7686498582494232,0.8010943864337687,-0.7193199484196914,-0.2345563692234286
test_Mix_DPerc0_c_0.dcm,85.0,701,637,710,664,1693536,243.0,0.8382478446164253,0.024484192074683404,0.7716796642462744,0.8270483030356528,0.8439819000989011,0.8536507559154936,0.8925534865070287,-0.81235070193074,0.3182888933785572
test_Mix_DPerc0_c_0.dcm,85.0,704,481,712,506,1693536,200.0,0.7500258942134286,0.04067215627015241,0.6426506541903029,0.7273343575146431,0.7516438036470682,0.7809243460414423,0.8209981511367028,-0.6224568496498358,-0.007284394262057746
test_Mix_DPerc0_c_0.dcm,107.0,709,443,730,468,1693536,525.0,0.7924443933447028,0.06643305979107503,0.6298954647709427,0.7422902542393844,0.809366467725448,0.8464024940279475,0.9057580333484527,-0.57203041984519,-0.6543986890120064
test_Mix_DPerc0_c_0.dcm,79.0,711,677,727,694,1693536,272.0,0.8988125268509833,0.022324006853685765,0.8479885890573494,0.8818783774275063,0.8952628376010212,0.9154937088527726,0.9536727807534477,0.3800448106499575,-0.7661036719289142
test_Mix_DPerc0_c_0.dcm,89.0,712,469,718,499,1693536,180.0,0.8182904282349401,0.02579757123337692,0.7453187572894047,0.804389036224723,0.8229285851827458,0.8379168797833676,0.8691891871967729,-0.8678603266594563,0.5160030900610585
test_Mix_DPerc0_c_0.dcm,169.0,716,386,735,430,1693536,836.0,0.7119000063713482,0.08560023406380379,0.44017669834935713,0.6506981842175849,0.7345850645162588,0.7679823694163601,0.8701669656641433,-0.5605035746696839,-0.3123187422275751
test_Mix_DPerc0_c_0.dcm,63.0,716,425,729,445,1693536,260.0,0.8049235522294362,0.03991881922618875,0.6870594431361399,0.771187638387157,0.8112260735444561,0.8340754291222304,0.8836275587369472,-0.32133462303399807,-0.4676896742293965
test_Mix_DPerc0_c_0.dcm,52.0,716,723,728,737,1693536,168.0,0.8163887547931449,0.04359019450066929,0.7108854811745849,0.7963517332341461,0.8292543809136927,0.846959784768483,0.8753417063497773,-0.9924943451567235,-0.11643853778408002
test_Mix_DPerc0_c_0.dcm,76.0,722,725,736,747,1693536,308.0,0.8545140872401462,0.0327428744547165,0.7373751651499871,0.8335363692644642,0.8565228951204759,0.8787703331456432,0.9220179652371052,-0.7955741501374913,1.2382254042730954
test_Mix_DPerc0_c_0.dcm,50.0,724,574,739,586,1693536,180.0,0.9263549826034709,0.02567790099977409,0.8792348407192512,0.905362301923688,0.9245909416446345,0.945949000447202,0.9818587254576345,0.14487381151359485,-0.9010227157505778
test_Mix_DPerc0_c_0.dcm,116.0,727,689,738,726,1693536,407.0,0.9194174944370292,0.02209093099237241,0.861777434295657,0.9019213027784597,0.921903250277745,0.9353308942503509,0.9720762261638876,-0.20064888210905046,-0.5264210598515865
test_Mix_DPerc0_c_0.dcm,1.0,728,401,729,402,1693536,1.0,0.7446123012642428,,0.7446123012642428,0.7446123012642428,0.7446123012642428,0.7446123012642428,0.7446123012642428,,
test_Mix_DPerc0_c_0.dcm,56.0,730,636,735,656,1693536,100.0,0.9086227730744848,0.011246251639436855,0.8873528703391782,0.9004680109515335,0.9083890439750549,0.9168156204410463,0.9396976928224714,0.2683546593674797,-0.2339848123887298
test_Mix_DPerc0_c_0.dcm,80.0,731,376,758,390,1693536,378.0,0.8207488340288854,0.05284229632963589,0.6626786385276655,0.7872103339740741,0.8219553104418524,0.8595151317413473,0.9353312383879673,-0.23959294070877404,0.02378888295366262
test_Mix_DPerc0_c_0.dcm,78.0,739,383,749,406,1693536,230.0,0.8309744996700839,0.03282514199090686,0.7772489049458176,0.7996773269443332,0.8241429854735158,0.8634779102742574,0.8953448640943309,0.10688982288086996,-1.3858101161789231
test_Mix_DPerc0_c_0.dcm,56.0,744,583,763,595,1693536,228.0,0.9033743419450777,0.01525046951426703,0.8673273196412826,0.8934938507334683,0.9033356055037101,0.9135963004921185,0.9399828503458647,0.09370724613385364,-0.32324336455129876
test_Mix_DPerc0_c_0.dcm,158.0,752,324,770,351,1693536,486.0,0.8078399067598266,0.050616542900680815,0.6605469060820659,0.7713820878434103,0.8171588528713665,0.8459997773653005,0.906141956427694,-0.5775414457530024,-0.42072482507586045
test_Mix_DPerc0_c_0.dcm,114.0,756,395,765,435,1693536,360.0,0.9140749013585509,0.02061399921890259,0.8677215639183211,0.8982164205495655,0.9136673264535247,0.9283088848529302,0.9669092340801421,0.21365802734523962,-0.5891342303343824
test_Mix_DPerc0_c_0.dcm,115.0,759,364,775,393,1693536,464.0,0.896880081784861,0.032306737381692936,0.8221475946762813,0.8756333503141864,0.8956984024525931,0.9171954976582161,0.9936433999136827,0.163829880040322,-0.08969051355264143
